"Hazard ID","ELR","ELR Name","Mileage  From","Mileage To","Hazard Description","Local Name","Track","Free Text","Operational Status Code"
"40388036","OXW","OXENHOLME JN - WINDERMERE","-0.0282","-0.0249","25Kv Overhead Electrification","Not Applicable","","","NP"
"40592877","OXW","OXENHOLME JN - WINDERMERE","-0.0282","10.0355","Site of Special Scientific Interest (SSSI)","WINDERMERE - OXENHOLME","All/Multiple Tracks","RIVER KENT CANDIDATE SPECIAL AREA OF CONSERVATION. ILEAGE IS NOT VERIFIED. SEE ALSO ELR CGJ7. SEE P BAXTER FOR MORE INFORMATION","O"
"40416478","OXW","OXENHOLME JN - WINDERMERE","-0.0200","-0.0200","Authorised Access Point - Vehicle","OXENHOLME STATION","Rev Single","","O"
"40416725","OXW","OXENHOLME JN - WINDERMERE","-0.0131","-0.0124","Asbestos Hazard","NOT AVAILABLE","Rev Single","CATOP TROUGHING","O"
"40416477","OXW","OXENHOLME JN - WINDERMERE","-0.0096","-0.0096","Authorised Access Point - Pedestrian","OXENHOLME STATION","Rev Single","","O"
"40091343","LHL","FARINGTON JN - LOSTOCK HALL JN","-0.0017","-0.0017","Restricted Sighting","Farington Jn","","All Lines <> ","NP"
"40100130","LHL","FARINGTON JN - LOSTOCK HALL JN","-0.0017","0.1687","Restricted Clearance","Farington Jn","","ALL LINES","NP"
"40388023","LHL","FARINGTON JN - LOSTOCK HALL JN","-0.0017","0.1425","25Kv Overhead Electrification","Not Applicable","","","NP"
"40388032","MSM","MORECAMBE SOUTH JN - MORECAMBE","-0.0011","0.0047","25Kv Overhead Electrification","Not Applicable","","","NP"
"120016456","PRG","PADIHAM CEGB SDG - ROSE GROVE W JN","-0.0006","1.1672","Other Contamination","Mining Referral Layer","All/Multiple Tracks","Within Network Rail's Mining Referral area. 
Site is located in an area of known historic or current mining, and surface defects associated with mining may be present or develop over time.
If planned work includes anything which could be deemed 'qualifying construction work' under NR/L2/CIV/191/Mod 5, a Stage 1 Mining Report should be requested from Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"120014961","UCJ","CARLISLE UPPERBY BR JN - CALDEW JN (THROUGH GOODS LINES)","-0.0002","0.0244","Landfill Gases","York Place, Upperby, Carlisle","All/Multiple Tracks","Tip of unknown wastes. 
Landfill gas present? Unknown 
Hazards associated with sites within 250m of known landfill include:
Hazardous gases
Leachate (hazardous liquids)
Contaminated soils 
Project sponsors shall request landfill information for all proposed construction projects (NR/L3/CIV/066 Clause 18).
Request form can be found on Technical Authority’s Mining Team Connect page: 
https://networkrail.sharepoint.com/sites/nrmyconnect-technicalauthority/SitePages/Mining.aspx
For further advice, contact nationalminingengineer@networkrail.co.uk","NP"
"40043833","CGJ6","PRESTON - LANCASTER","0.0000","0.0000","Asbestos Hazard","Preston","","Red Star Office.*MILEAGE INCORRECT*","C"
"40037756","OXW","OXENHOLME JN - WINDERMERE","0.0000","0.0275","Buried Water Main","Oxenholme Jn","All/Multiple Tracks","Diameter: 700 mm <> Ductile iron Barrow trunk main runs adj to west of railway before crossing under it at 0m 275y UB 1. North West Water LC/210/4031 continues along main line CGJ7 then crosses that *also on CGJ7 as asset 40038385*. LP 726. ","O"
"40099911","UCJ","CARLISLE UPPERBY BR JN - CALDEW JN (THROUGH GOODS LINES)","0.0000","1.0154","Restricted Clearance","Lady Gilford - Caldew<Upperby BR. Jcn>","All/Multiple Tracks","ALL LINES & SIDINGS incl Upperby carr Sidings, Newcastle/Maryport lines","NP"
"40100088","FHR1","FARINGTON CURVE JN - ENGINE SHED JN","0.0000","0.0440","Restricted Clearance","Farington Curve Jn","","ALL LINES","NP"
"40100225","WCM1","W.C.M.L.(CARLISLE - ELR CHANGE LAW JN)","0.0000","0.0900","Restricted Clearance","NORTH JUNCTION TO BRIDGE 2","Down Main/Fast","DOWN MAIN NORTH JUNCTION TO BRIDGE 2","NP"
"110165874","DAP","DALTON JN - PARK SOUTH JN","0.0000","0.1050","Gradient Greater Than 1 in 100","DALTON JN - PARK SOUTH JN","All/Multiple Tracks","Gradient runs from 0.0000 to 0.1050 top to bottom. This must be considered when planning for the Risk of Runaway","O"
"40312267","CGJ6","PRESTON - LANCASTER","0.0000","0.0000","Listed Building","PRESTON","","SD5329SE <> STATION BUILDINGS","C"
